ReportNumberNew,Time of Call,Date,Year,Month Name,Quarter,Week of Year,Week of Month,Day Name,Day of Year,Time,Start of Hour,Incident,PDZone,Grid,Time Dispatched,Time Out,Time In,RESPONSE_TIME,TIME_ON_CALL,Officer,Disposition,Response Type,CAD_NOTES,Location,Block1,FullAddress2,How Reported,ST#,BLOCK_
25-015369,02/25/25 08:52,02/25/25,2025,February,01,09,05,Tuesday,056,08:52,08:00,CRIMINAL MISCHIEF,6,F1,02/25/25 09:02:05,02/25/25 09:04:39,02/25/25 09:21:13,0 Hrs. 02 Mins,0 Hrs. 16 Mins,P.O. Carmine Maceri 378,COMPLETE,Routine,In the parking lot by the loading zone.  Caller stated he walked out to his truck and the door lock is  - cavallo_F - 2/25/2025 8:55:42 AMbroken.  He has not entered the vehicle but looked inside and does not appear anything was taken - cavallo_F - 2/25/2025 8:56:12 AM,99 South Newman Street,0 Block of South Newman Street,"99 South Newman Street, Hackensack, NJ, 07601",Phone,99,"South Newman St, 0 Block"
25-015380,02/25/25 09:38,02/25/25,2025,February,01,09,05,Tuesday,056,09:38,09:00,SUSPICIOUS VEHICLE,9,I6,02/25/25 09:40:17,02/25/25 09:46:21,02/25/25 09:52:25,0 Hrs. 06 Mins,0 Hrs. 06 Mins,P.O. Micah Gibson 365,TEMP. SETTLED,Urgent,"Male party in the parking lot, not a resident, refusing to leave.  Caller is the property manager. - iannacone_a - 2/25/2025 9:40:07 AMProperty manager asked him to leave and he refused. - iannacone_a - 2/25/2025 9:40:16 AM",414 Hackensack Avenue,400 Block of Hackensack Avenue,"414 Hackensack Avenue, Hackensack, NJ, 07601",Phone,414,"Hackensack Ave, 400 Block"
25-015411,02/25/25 12:01,02/25/25,2025,February,01,09,05,Tuesday,056,12:01,12:00,CRIMINAL MISCHIEF - VEHICLE,8,H4,02/25/25 12:13:20,02/25/25 12:17:05,02/25/25 12:33:29,0 Hrs. 03 Mins,0 Hrs. 16 Mins,P.O. Micah Gibson 365,SEE REPORT,Routine,Caller stated somebody keyed her car.  Silver Honda Accord parked in the front of the building. - iannacone_a - 2/25/2025 12:03:01 PM,390 Prospect Avenue,300 Block of Prospect Avenue,"390 Prospect Avenue, Hackensack, NJ, 07601",Phone,390,"Prospect Ave, 300 Block"
25-015439,02/25/25 13:39,02/25/25,2025,February,01,09,05,Tuesday,056,13:39,13:00,GROUP,9,I1,02/25/25 13:47:52,02/25/25 13:53:25,02/25/25 14:00:18,0 Hrs. 05 Mins,0 Hrs. 06 Mins,P.O. Juda DeOliveira 376,DISPERSED,Routine,Group of 81's on the soccer field - Sosa_C - 2/25/2025 1:39:34 PMDrone deployed.  Provided overwatch. - weber_r - 2/25/2025 1:44:56 PM,460 River Street,400 Block of River Street,"460 River Street, Hackensack, NJ, 07601",Phone,460,"River St, 400 Block"
25-015451,02/25/25 14:39,02/25/25,2025,February,01,09,05,Tuesday,056,14:39,14:00,SUSPICIOUS INCIDENT,8,H2,02/25/25 14:43:55,02/25/25 14:54:31,02/25/25 14:54:40,0 Hrs. 10 Mins,0 Hrs. 00 Mins,P.O. Angie Tabares 363,ADVISED,Urgent,"Louis Miller(son) 904-482-5504, son believes his mother has been defrauded by a contractor - cavallo_f - 2/25/2025 2:41:29 PM",96 Berry Street,0 Block of Berry Street,"96 Berry Street, Hackensack, NJ, 07601",Phone,96,"Berry St, 0 Block"
25-015470,02/25/25 16:23,02/25/25,2025,February,01,09,05,Tuesday,056,16:23,16:00,SUSPICIOUS INCIDENT,7,G1,02/25/25 16:27:19,02/25/25 16:32:11,02/25/25 16:35:19,0 Hrs. 04 Mins,0 Hrs. 03 Mins,P.O. Juda DeOliveira 376,ADVISED,Urgent,CCAD# 25-070648  Caller stated she was almost hit by a car - Sosa_C - 2/25/2025 4:26:34 PM,145 Main Street,100 Block of Main Street,"145 Main Street, Hackensack, NJ, 07601",9-1-1,145,"Main St, 100 Block"
25-015474,02/25/25 16:48,02/25/25,2025,February,01,09,05,Tuesday,056,16:48,16:00,SIMPLE ASSAULT,9,I5,02/25/25 16:55:36,02/25/25 17:00:46,02/25/25 18:01:12,0 Hrs. 05 Mins,1 Hrs. 00 Mins,P.O. Juda DeOliveira 376,SEE REPORT,Routine,0,266 Herman Street,200 Block of Herman Street,"266 Herman Street, Hackensack, NJ, 07601",Walk-In,266,"Herman St, 200 Block"
25-015487,02/25/25 17:46,02/25/25,2025,February,01,09,05,Tuesday,056,17:46,17:00,GROUP,7,G3,02/25/25 17:57:41,02/25/25 18:01:00,02/25/25 18:04:37,0 Hrs. 03 Mins,0 Hrs. 03 Mins,P.O. Gunther Lara-Nunez 351,DISPERSED,Routine,LARGE GROUP MAINTAINING A RUCKUS. - ORTIZ_N - 2/25/2025 5:47:27 PMDrone deployed.  Provided overwatch. - weber_r - 2/25/2025 6:37:01 PM,10 Lehigh Street,0 Block of Lehigh Street,"10 Lehigh Street, Hackensack, NJ, 07601",Phone,10,"Lehigh St, 0 Block"
25-015493,02/25/25 18:13,02/25/25,2025,February,01,09,05,Tuesday,056,18:13,18:00,DISPUTE,9,I1,02/25/25 18:15:19,02/25/25 18:19:40,02/25/25 18:33:04,0 Hrs. 04 Mins,0 Hrs. 13 Mins,P.O. Andres Lopez 375,SEE REPORT,Urgent,caller has been threatened 3 times with a nailed bat.  - ORTIZ_N - 2/25/2025 6:14:20 PM,50 Linden Street,0 Block of Linden Street,"50 Linden Street, Hackensack, NJ, 07601",Phone,50,"Linden St, 0 Block"
25-015496,02/25/25 18:23,02/25/25,2025,February,01,09,05,Tuesday,056,18:23,18:00,GROUP,7,G3,02/25/25 18:25:12,02/25/25 18:28:24,02/25/25 18:34:52,0 Hrs. 03 Mins,0 Hrs. 06 Mins,P.O. Massimo Gallorini 379,DISPERSED,Routine,group slingin' dice in the rear lot  - ORTIZ_N - 2/25/2025 6:24:16 PM,214 Essex Street,200 Block of Essex Street,"214 Essex Street, Hackensack, NJ, 07601",Phone,214,"Essex St, 200 Block"
25-015509,02/25/25 19:05,02/25/25,2025,February,01,09,05,Tuesday,056,19:05,19:00,TERRORISTIC THREATS,8,H2,02/25/25 19:08:43,02/25/25 19:11:09,02/25/25 19:43:14,0 Hrs. 02 Mins,0 Hrs. 32 Mins,P.O. Andres Lopez 375,SEE REPORT,Routine,"CCAD# 25-070788   12 y.o. threatening to stab her peers and staff, in a separate room - Sosa_C - 2/25/2025 7:06:49 PM",260 Union Street,200 Block of Union Street,"260 Union Street, Hackensack, NJ, 07601",9-1-1,260,"Union St, 200 Block"
25-015515,02/25/25 19:21,02/25/25,2025,February,01,09,05,Tuesday,056,19:21,19:00,DISPUTE,9,I1,02/25/25 19:24:09,02/25/25 19:29:44,02/25/25 19:40:58,0 Hrs. 05 Mins,0 Hrs. 11 Mins,P.O. Anthony Mattalian 83,TEMP. SETTLED,Urgent,CCAD# 25-070807  verbal dispute with neighbor - Sosa_C - 2/25/2025 7:22:57 PM,50 Linden Street,0 Block of Linden Street,"50 Linden Street, Hackensack, NJ, 07601",9-1-1,50,"Linden St, 0 Block"
25-015518,02/25/25 19:28,02/25/25,2025,February,01,09,05,Tuesday,056,19:28,19:00,SUSPICIOUS INCIDENT,5,E1,02/25/25 19:28:28,02/25/25 19:30:53,02/25/25 19:40:14,0 Hrs. 02 Mins,0 Hrs. 09 Mins,P.O. Nart Marza 321,G.O.A.,Urgent,CCAD# 25-070813  juveniles appear to be stealing packages - Sosa_C - 2/25/2025 7:29:56 PM,64 Fair Street,0 Block of Fair Street,"64 Fair Street, Hackensack, NJ, 07601",9-1-1,64,"Fair St, 0 Block"
25-015534,02/25/25 21:06,02/25/25,2025,February,01,09,05,Tuesday,056,21:06,21:00,WELFARE CHECK,9,I2,02/25/25 21:16:27,02/25/25 21:19:02,02/25/25 22:09:08,0 Hrs. 02 Mins,0 Hrs. 50 Mins,P.O. Anthony Mattalian 83,SEE REPORT,Urgent,"Claudette Abreu (5-4-13) has made suicidal statements over gaggle. mother is Claudia Contreras - ORTIZ_N - 2/25/2025 9:08:54 PMGaggle flagged google search ""HOW TO END LIFE"" - ORTIZ_N - 2/25/2025 9:15:22 PM",173 Ross Avenue,100 Block of Ross Avenue,"173 Ross Avenue, Hackensack, NJ, 07601",Phone,173,"Ross Ave, 100 Block"
25-015551,02/25/25 22:03,02/25/25,2025,February,01,09,05,Tuesday,056,22:03,22:00,DISPUTE,9,I1,02/25/25 22:09:25,02/25/25 22:12:11,02/25/25 22:36:21,0 Hrs. 02 Mins,0 Hrs. 24 Mins,P.O. Anthony Mattalian 83,SEE REPORT,Urgent,CCAD# 25-070965  neighbor dispute - Sosa_C - 2/25/2025 10:04:08 PM,50 Linden Street,0 Block of Linden Street,"50 Linden Street, Hackensack, NJ, 07601",9-1-1,50,"Linden St, 0 Block"
